country,city,longitud,latitud,temp_max,humidity,wind_speed,cloudiness,date
US,Fairbanks,-147.72,64.84,-147.72,85,4.7,90,1512359880
US,Laurel,-76.85,39.1,-76.85,92,2.51,1,1512363060
PG,Kandrian,149.55,-6.22,149.55,91,3.4,88,1512363557
US,Barrow,-156.79,71.29,-156.79,84,26.4,1,1512359580
CO,Orocue,-71.34,4.79,-71.34,71,3.91,0,1512363558
MX,Cabo San Lucas,-109.91,22.89,-109.91,78,11.18,20,1512360120
BR,Morros,-46.3,-9.45,-46.3,89,4.63,76,1512363560
CL,Ancud,-73.82,-41.87,-73.82,90,3.13,0,1512363560
IN,Fatehpur,80.8,25.93,80.8,73,4.29,88,1512363561
US,Alice,-98.07,27.75,-98.07,94,9.17,1,1512360900
MG,Morondava,44.28,-20.28,44.28,96,3.29,12,1512363563
ZA,Port Alfred,26.89,-33.59,26.89,93,3.62,24,1512363158
TH,Ranong,98.63,9.97,98.63,94,3.36,75,1512360000
RU,Vanino,140.25,49.09,140.25,100,7.27,20,1512363565
AO,Camacupa,17.48,-12.02,17.48,99,2.51,88,1512363566
BR,Maua,-46.46,-23.67,-46.46,77,5.82,90,1512362100
ZA,Volksrust,29.88,-27.37,29.88,71,2.62,8,1512363568
GL,Qaanaaq,-69.36,77.48,-69.36,91,4.29,64,1512363171
AU,Broome,122.23,-17.97,122.23,56,16.11,75,1512361800
PH,Santa Rosa,121.11,14.31,121.11,79,6.93,40,1512360000
TR,Alanya,32.0,36.54,32.0,100,0.56,12,1512363570
UY,Chuy,-53.46,-33.7,-53.46,89,15.21,92,1512363179
RU,Dikson,80.55,73.51,80.55,95,17.49,12,1512363180
PE,San Isidro,-77.05,-12.12,-77.05,86,1.9,20,1512363571
AU,Carnarvon,113.63,-24.87,113.63,82,15.88,92,1512363031
BR,Nortelandia,-56.8,-14.45,-56.8,93,3.36,32,1512363572
IQ,Sinjar,41.88,36.32,41.88,69,2.73,0,1512363573
RU,Kosa,55.0,59.94,55.0,88,9.89,92,1512363573
BR,Natal,-35.21,-5.79,-35.21,90,9.84,100,1512363574
CA,Norman Wells,-126.83,65.28,-126.83,76,8.05,20,1512360000
NA,Luderitz,15.16,-26.65,15.16,82,4.7,0,1512360000
RU,Talnakh,88.4,69.49,88.4,70,2.62,44,1512363575
RU,Togur,82.83,58.36,82.83,84,9.89,88,1512363575
NP,Pokhara,83.98,28.23,83.98,76,2.62,68,1512363043
CL,Antofagasta,-70.4,-23.65,-70.4,82,10.29,40,1512360000
GL,Ilulissat,-51.1,69.22,-51.1,57,16.11,64,1512363000
PG,Kavieng,150.8,-2.57,150.8,100,17.34,80,1512363044
NC,Koumac,164.28,-20.57,164.28,100,6.08,88,1512363577
CA,Thompson,-97.86,55.74,-97.86,92,2.24,90,1512360000
GL,Paamiut,-49.67,61.99,-49.67,91,8.66,56,1512363578
TC,Cockburn Town,-71.14,21.46,-71.14,100,17.0,92,1512363047
CA,Athabasca,-113.29,54.72,-113.29,77,5.3,76,1512362758
RU,Bilibino,166.44,68.05,166.44,100,2.84,64,1512363050
AU,Mount Isa,139.5,-20.73,139.5,23,17.22,0,1512360000
GL,Sisimiut,-53.67,66.94,-53.67,100,2.62,80,1512363054
ZA,Kruisfontein,24.73,-34.0,24.73,81,3.74,8,1512363581
NA,Khorixas,14.97,-20.37,14.97,54,4.41,0,1512363581
BR,Castro,-50.01,-24.79,-50.01,96,2.84,76,1512363057
CV,Sao Filipe,-24.5,14.9,-24.5,97,16.49,0,1512363058
VU,Isangel,169.27,-19.55,169.27,88,10.11,90,1512360000
GL,Tasiilaq,-37.64,65.61,-37.64,100,8.61,0,1512363583
JP,Sukumo,132.73,32.93,132.73,89,11.56,68,1512363584
AU,Alice Springs,133.88,-23.7,133.88,16,13.87,0,1512360000
MG,Antalaha,50.28,-14.9,50.28,89,10.4,88,1512363069
US,Kapaa,-159.32,22.08,-159.32,73,18.34,90,1512359760
CL,Punta Arenas,-70.92,-53.15,-70.92,71,13.87,0,1512360000
US,Billings,-108.5,45.78,-108.5,80,19.46,90,1512363180
CA,Drayton Valley,-114.99,53.22,-114.99,70,10.56,0,1512363077
QA,Doha,51.53,25.29,51.53,64,10.29,0,1512360000
PG,Namatanai,152.43,-3.67,152.43,100,10.96,92,1512363079
CN,Chifeng,118.96,42.27,118.96,23,12.86,0,1512363586
BR,Nazare,-39.01,-13.04,-39.01,89,5.37,32,1512363586
PE,Sechura,-80.82,-5.56,-80.82,87,11.41,36,1512363587
KZ,Aqtobe,57.21,50.28,57.21,92,8.95,90,1512361800
CK,Avarua,-159.78,-21.21,-159.78,88,8.05,90,1512360000
BR,Agua Branca,-42.64,-5.89,-42.64,51,8.43,0,1512363588
CN,Tieli,128.05,46.95,128.05,54,3.85,36,1512363589
BR,Sao Joao da Barra,-41.05,-21.64,-41.05,100,5.53,92,1512363394
FO,Klaksvik,-6.59,62.23,-6.59,100,20.8,92,1512361200
UA,Novomykolayivka,35.91,47.98,35.91,93,4.47,90,1512360000
CZ,Pecky,15.03,50.09,15.03,87,20.8,40,1512361800
PH,Marawi,124.29,8.0,124.29,97,3.02,68,1512363591
MU,Mahebourg,57.7,-20.41,57.7,69,16.11,40,1512360000
RU,Arkhara,130.08,49.42,130.08,56,2.8,0,1512363592
ZA,Hermanus,19.23,-34.42,19.23,72,4.85,20,1512362819
MX,Coahuayana,-103.68,18.73,-103.68,100,4.41,8,1512363101
KZ,Atbasar,68.33,51.8,68.33,91,11.12,48,1512363593
JP,Naze,129.48,28.37,129.48,60,16.11,75,1512360000
TD,Am Timan,20.28,11.03,20.28,39,7.43,0,1512363106
US,Kahului,-156.47,20.89,-156.47,73,13.87,40,1512359760
MX,San Patricio,-104.7,19.22,-104.7,100,2.35,20,1512363111
AR,Gualeguay,-59.31,-33.14,-59.31,86,13.35,80,1512363595
MG,Vangaindrano,47.6,-23.35,47.6,100,3.29,64,1512363595
LK,Matara,80.54,5.95,80.54,99,5.53,0,1512363541
AR,Ushuaia,-68.3,-54.8,-68.3,50,2.24,0,1512360000
PF,Rikitea,-134.97,-23.12,-134.97,100,11.9,76,1512363117
CA,Hinton,-117.59,53.4,-117.59,61,5.3,0,1512363512
CN,Dongning,131.12,44.06,131.12,47,6.53,20,1512363597
NE,Bilma,12.92,18.69,12.92,56,2.73,68,1512363598
US,Albany,-73.76,42.65,-73.76,92,1.79,40,1512359640
ID,Meulaboh,96.13,4.14,96.13,100,19.13,100,1512363598
BR,Arraial do Cabo,-42.03,-22.97,-42.03,94,5.82,75,1512360000
RU,Nyurba,118.33,63.28,118.33,32,2.57,32,1512363621
UZ,Komsomolskiy,71.72,40.43,71.72,74,3.13,90,1512360000
ES,Salamanca,-5.65,40.97,-5.65,81,6.42,0,1512363464
RU,Kyra,111.98,49.58,111.98,46,8.16,64,1512363623
RU,Strezhevoy,77.59,60.73,77.59,100,11.18,90,1512361800
IR,Ahar,47.07,38.48,47.07,75,2.39,0,1512363624
US,Kodiak,-152.41,57.79,-152.41,93,23.04,90,1512360720
MN,Darhan,105.92,49.49,105.92,52,5.93,68,1512363625
CI,Tabou,-7.35,4.42,-7.35,100,8.61,40,1512360000
AU,Mount Gambier,140.77,-37.83,140.77,66,7.09,0,1512363140
US,Brigantine,-74.36,39.41,-74.36,100,7.27,40,1512363360
PT,Camacha,-16.33,33.08,-16.33,59,10.29,75,1512361800
US,Crossville,-85.03,35.95,-85.03,75,3.36,1,1512360900
CA,Weyburn,-103.85,49.67,-103.85,91,13.09,92,1512363628
CA,Mackenzie,-123.17,55.3,-123.17,92,3.36,90,1512360000
GF,Grand-Santi,-54.38,4.25,-54.38,79,4.29,0,1512363629
ZM,Limulunga,23.14,-15.1,23.14,83,4.29,12,1512363629
SB,Auki,160.7,-8.77,160.7,100,11.18,88,1512363151
RU,Petropavlovsk-Kamchatskiy,158.65,53.05,158.65,48,8.95,8,1512361800
EC,Palora,-77.93,-1.7,-77.93,100,2.28,32,1512363631
US,Laguna,-121.42,38.42,-121.42,61,6.93,1,1512362100
CN,Tangping,111.93,22.03,111.93,64,9.84,56,1512363632
RU,Shirokiy,129.52,49.76,129.52,63,3.24,12,1512363633
CN,Xiaoshi,124.12,41.3,124.12,28,4.47,0,1512360000
IS,Grindavik,-22.43,63.84,-22.43,100,8.05,90,1512360000
ML,Kolokani,-8.03,13.57,-8.03,43,6.38,12,1512363634
AU,Lakes Entrance,147.98,-37.88,147.98,83,6.82,20,1512363635
RU,Dzhebariki-Khaya,135.8,62.22,135.8,0,2.51,0,1512363635
IN,Suar,79.05,29.03,79.05,93,3.51,92,1512363636
GL,Maniitsoq,-52.9,65.42,-52.9,100,6.6,68,1512363637
AU,Robertson,150.6,-34.58,150.6,100,16.11,75,1512361800
CL,Lebu,-73.65,-37.62,-73.65,98,17.83,20,1512363042
CA,Inuvik,-133.72,68.35,-133.72,84,6.93,75,1512360000
SO,Bandarbeyla,50.81,9.49,50.81,100,25.72,36,1512363638
